epoch,accuracy,auc,fn,fp,loss,precision,recall,tn,tp
0,0.8990467,0.9666154,5634.0,5634.0,0.234780399350945,0.8990467,0.8990467,50174.0,50174.0
1,0.9649154,0.9942518,1958.0,1958.0,0.09464899149783161,0.9649154,0.9649154,53850.0,53850.0
2,0.9726025,0.9963028,1529.0,1529.0,0.07395788015575584,0.9726025,0.9726025,54279.0,54279.0
3,0.9780318,0.99734616,1226.0,1226.0,0.06029682934557626,0.9780318,0.9780318,54582.0,54582.0
4,0.9816872,0.997808,1022.0,1022.0,0.05344132412600955,0.9816872,0.9816872,54786.0,54786.0
5,0.983712,0.99839073,909.0,909.0,0.045323229505928285,0.983712,0.983712,54899.0,54899.0
6,0.98582643,0.9987244,791.0,791.0,0.03971326383633898,0.98582643,0.98582643,55017.0,55017.0
7,0.98588014,0.9987999,788.0,788.0,0.038631832902106124,0.98588014,0.98588014,55020.0,55020.0
8,0.9879587,0.9990543,672.0,672.0,0.033833414709212584,0.9879587,0.9879587,55136.0,55136.0
9,0.9893205,0.9992604,596.0,596.0,0.029896014079519913,0.9893205,0.9893205,55212.0,55212.0
10,0.99188286,0.99939144,453.0,453.0,0.024313381480035978,0.99188286,0.99188286,55355.0,55355.0
11,0.99188286,0.9994792,453.0,453.0,0.023564702532160173,0.99188286,0.99188286,55355.0,55355.0
12,0.99254584,0.99949133,416.0,416.0,0.02076675033692373,0.99254584,0.99254584,55392.0,55392.0
13,0.99351346,0.9996267,362.0,362.0,0.018882323880978952,0.99351346,0.99351346,55446.0,55446.0
14,0.9939077,0.9997223,340.0,340.0,0.016866711754386032,0.9939077,0.9939077,55468.0,55468.0
15,0.99421227,0.9997051,323.0,323.0,0.016111560798156153,0.99421227,0.99421227,55485.0,55485.0
16,0.9945169,0.9997496,306.0,306.0,0.015413535645641728,0.9945169,0.9945169,55502.0,55502.0
17,0.9950007,0.9997978,279.0,279.0,0.01398926208633075,0.9950007,0.9950007,55529.0,55529.0
18,0.99507236,0.999824,275.0,275.0,0.014057303646391411,0.99507236,0.99507236,55533.0,55533.0
19,0.99580705,0.99979746,234.0,234.0,0.01251817688798754,0.99580705,0.99580705,55574.0,55574.0
20,0.99638045,0.9998512,202.0,202.0,0.011135019697334379,0.99638045,0.99638045,55606.0,55606.0
21,0.99657756,0.9998904,191.0,191.0,0.009735456864358089,0.99657756,0.99657756,55617.0,55617.0
22,0.9969718,0.9998863,169.0,169.0,0.008526330120079731,0.9969718,0.9969718,55639.0,55639.0
23,0.9963984,0.9998461,201.0,201.0,0.010468446399691866,0.9963984,0.9963984,55607.0,55607.0
24,0.99608994,0.9998353,197.0,197.0,0.010726826342942815,0.99608994,0.99608994,50186.0,50186.0
